subject_id,study,Cohort,Race,Gender,First-Generation,bedtime_mssd,total_sleep_time,midpoint_sleep,frac_nights_with_data,daytime_sleep,Cumulative GPA,End-of-term GPA,term_units,Relative Course Load,time_collection,University
458,3,uw2,Non-underrepresented,Female,Non-first gen,0.278307446,451.962963,352.3518519,0.964285714,64.33333333,3.215,2.99,18,1.603330987,"Spring, 2019",UW
465,3,uw2,Underrepresented,Female,Non-first gen,0.125992,432.9230769,420.3076923,0.928571429,28.23076923,3.390357143,3.37,16,0.561915066,"Spring, 2019",UW
469,3,uw2,Non-underrepresented,Female,Non-first gen,0.068602893,388.7407407,360,0.964285714,37.11111111,3.958857143,3.94,14,-0.479500856,"Spring, 2019",UW
485,3,uw2,Non-underrepresented,Female,Non-first gen,0.299431424,367.4444444,344.1111111,0.321428571,70.88888889,2.9,3,15,0.041207105,"Spring, 2019",UW
490,3,uw2,Non-underrepresented,Female,Non-first gen,0.111857186,459.6071429,352.6785714,1,31.57142857,2.998,3.4,15,0.041207105,"Spring, 2019",UW
494,3,uw2,Non-underrepresented,Female,Non-first gen,0.103435203,411.5,440.75,0.857142857,35.08333333,3.724117647,3.86,18,1.603330987,"Spring, 2019",UW
499,3,uw2,Underrepresented,Female,Non-first gen,0.126889468,413.52,440.96,0.892857143,38.36,3.946428571,3.93,15,0.041207105,"Spring, 2019",UW
503,3,uw2,Non-underrepresented,Female,Non-first gen,0.13315212,402.9259259,305.4814815,0.964285714,38.03703704,3.492258065,2.94,14,-0.479500856,"Spring, 2019",UW
506,3,uw2,Non-underrepresented,Female,Non-first gen,0.571608728,352.8148148,419.3333333,0.964285714,79.07407407,3.657272727,3.3,13,-1.000208817,"Spring, 2019",UW
509,3,uw2,Non-underrepresented,Female,Non-first gen,0.148132907,349.5714286,354.875,1,100.2857143,3.635,3.83,18,1.603330987,"Spring, 2019",UW
510,3,uw2,Non-underrepresented,Female,Non-first gen,0.037504409,368.2272727,351.4090909,0.785714286,36.22727273,2.83,2.67,15,0.041207105,"Spring, 2019",UW
511,3,uw2,Non-underrepresented,Female,Non-first gen,0.204280556,410.5714286,400.5952381,0.75,18.9047619,3.862592593,3.8,15,0.041207105,"Spring, 2019",UW
513,3,uw2,Non-underrepresented,Female,Non-first gen,0.044613233,449.56,351.44,0.892857143,15.64,3.611,3.09,14,-0.479500856,"Spring, 2019",UW
523,3,uw2,Non-underrepresented,Female,Non-first gen,0.22167162,392.7857143,285.7321429,1,46.32142857,3.385,2.77,14,-0.479500856,"Spring, 2019",UW
534,3,uw2,Non-underrepresented,Female,Non-first gen,0.069091111,393.4230769,364.1923077,0.928571429,34.46153846,3.052727273,3,15,0.041207105,"Spring, 2019",UW
541,3,uw2,Non-underrepresented,Female,Non-first gen,0.358432023,382.75,504.2857143,1,48.35714286,3.154482759,3.28,12,-1.520916778,"Spring, 2019",UW
547,3,uw2,Non-underrepresented,Female,Non-first gen,0.101952,369.2692308,322.3269231,0.928571429,37.15384615,3.139259259,3.14,14,-0.479500856,"Spring, 2019",UW
557,3,uw2,Underrepresented,Female,Non-first gen,0.293845743,391.9259259,368.1481481,0.964285714,45.59259259,2.799130435,2.86,16,0.561915066,"Spring, 2019",UW
559,3,uw2,Non-underrepresented,Female,Non-first gen,0.09362902,399.1071429,446.2321429,1,51.71428571,3.680625,3.17,15,0.041207105,"Spring, 2019",UW
562,3,uw2,Non-underrepresented,Female,Non-first gen,10.59540365,298.3333333,584.6666667,0.321428571,6.555555556,3.88,3.52,18,1.603330987,"Spring, 2019",UW
564,3,uw2,Underrepresented,Female,Non-first gen,0.048606222,407.3846154,415.0192308,0.928571429,49.07692308,3.601034483,3.63,16,0.561915066,"Spring, 2019",UW
567,3,uw2,Underrepresented,Female,Non-first gen,0.157320484,436.3181818,433.7727273,0.785714286,24.09090909,3.948275862,3.91,18,1.603330987,"Spring, 2019",UW
570,3,uw2,Non-underrepresented,Female,Non-first gen,0.052149901,403.4814815,427.3888889,0.964285714,35.51851852,3.363703704,3.01,15,0.041207105,"Spring, 2019",UW
571,3,uw2,Non-underrepresented,Female,Non-first gen,0.128576444,435.3461538,427.1346154,0.928571429,40.42307692,3.625454545,3.49,13,-1.000208817,"Spring, 2019",UW
306,1,lac2,Non-underrepresented,Male,Non-first gen,0.62441736,339.9545455,492.4545455,0.75862069,42.5,3.4,3.5,45,-0.842877075,"Spring, 2017",CMU
308,1,lac2,Underrepresented,Male,Non-first gen,0.409338018,414.3333333,467.3333333,0.931034483,38,2.53,2.4,48,-0.127051324,"Spring, 2017",CMU
314,1,lac2,Non-underrepresented,Male,Non-first gen,0.174514556,381.2142857,446.8214286,0.965517241,34.67857143,2.79,3.37,49,0.11155726,"Spring, 2017",CMU
360,1,lac2,Non-underrepresented,Male,Non-first gen,1.240037879,350.6956522,349.3695652,0.793103448,32.04347826,3.29,3.39,49,0.11155726,"Spring, 2017",CMU
361,1,lac2,Non-underrepresented,Male,Non-first gen,0.297786596,357.7272727,451.5227273,0.75862069,30.86363636,3.59,3.38,49,0.11155726,"Spring, 2017",CMU
380,1,lac2,Non-underrepresented,Male,Non-first gen,0.085431193,376.5862069,473.4827586,1,6.24137931,3.48,3.46,47,-0.365659907,"Spring, 2017",CMU
383,1,lac2,Non-underrepresented,Male,Non-first gen,0.120820206,411.8333333,459.0416667,0.827586207,55.41666667,3.77,3.57,47,-0.365659907,"Spring, 2017",CMU
386,1,lac2,Non-underrepresented,Male,Non-first gen,0.299388109,422.137931,402.1724138,1,72.31034483,3.22,3.58,53,1.065991594,"Spring, 2017",CMU
394,1,lac2,Non-underrepresented,Male,Non-first gen,0.106319444,425.3448276,375.1724138,1,52.93103448,3.74,3.81,52,0.827383011,"Spring, 2017",CMU
396,1,lac2,Non-underrepresented,Male,Non-first gen,1.217045139,362.0952381,415.0238095,0.724137931,31.0952381,3.8,3.61,56,1.781817345,"Spring, 2017",CMU
419,1,lac2,Non-underrepresented,Male,Non-first gen,0.099436226,340,489.1851852,0.931034483,25.074074070000002,3.56,3.59,46,-0.604268491,"Spring, 2017",CMU
432,1,lac2,Non-underrepresented,Male,Non-first gen,2.758615451,263.5294118,533.1470588,0.586206897,42.29411765,3.21,3.05,45,-0.842877075,"Spring, 2017",CMU
453,1,lac2,Non-underrepresented,Male,Non-first gen,4.255410998,283.3333333,669.7333333,0.517241379,40.46666667,3.6,2.18,47,-0.365659907,"Spring, 2017",CMU
479,1,lac2,Non-underrepresented,Male,Non-first gen,0.267059518,408.3214286,411.4107143,0.965517241,22.67857143,2.86,3.78,46,-0.604268491,"Spring, 2017",CMU
506,1,lac2,Non-underrepresented,Male,Non-first gen,0.018758149,411.7241379,335.6896552,1,10.82758621,4,4,60,2.73625168,"Spring, 2017",CMU
541,1,lac2,Non-underrepresented,Male,Non-first gen,0.02902111,393.2857143,401.8392857,0.965517241,36.46428571,4,4,49,0.11155726,"Spring, 2017",CMU
551,1,lac2,Non-underrepresented,Male,Non-first gen,0.170305768,431.3448276,445.637931,1,35.79310345,4,3.42,55,1.543208762,"Spring, 2017",CMU
563,1,lac2,Non-underrepresented,Male,Non-first gen,0.166596936,427.7857143,401.0714286,0.965517241,67.89285714,4,4,40,-2.035919993,"Spring, 2017",CMU
